title,url,current_price,Noise Cancellation,Water Resistant,Charging Interface,Bluetooth Version,Microphone,Capacity for buds,Capacity for Case
M30 TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/m30-tws-wireless-earbuds,1199,No,Yes,Micro-USB,V5.2,Yes,50mAh,2000mAh
Redmi Buds 6 Active Wireless Earbuds,https://priceoye.pk/wireless-earbuds/xiaomi/redmi-buds-6-active-wireless-earbuds,4799,Yes,Yes,Type-C,V5.4,Yes,30 mAh,No
The real freedom of wireless,https://priceoye.pk/wireless-earbuds/assorted/m28-tws-wireless-earbuds,899,No,Yes,Type-C,V5.1,yes,50mAh,2000mAh
Excellent Audio Clarity,https://priceoye.pk/wireless-earbuds/assorted/airs-pro-tws-bluetooth-earbuds,799,No,Yes,No,V5.0,Yes,No,No
Realme Buds Air 7,https://priceoye.pk/wireless-earbuds/realme/realme-buds-air-7,14099,Yes,Yes,Type-C,V5.4,Yes,62mAh,480mAh
Zero Wave Pro Earbuds,https://priceoye.pk/wireless-earbuds/zero/zero-wave-pro-earbuds,4949,Yes,Yes,Type-C,V5.3,Yes,30 mAh,No
Audionic Trance Airbud 850 with 6 Mics ANC,https://priceoye.pk/wireless-earbuds/audionic/audionic-trance-airbud-850-earbuds,8899,Yes,Yes,Type-C,V5.4,Yes,55 mAh,500mAh
Price List of Soundpeats Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/soundpeats,10299,No,No,No,No,No,No,No
QCY MeloBuds Pro Wireless Earbuds,https://priceoye.pk/wireless-earbuds/qcy/qcy-melobuds-pro-wireless-earbuds,9799,Yes,Yes,Type-C,V5.3,No,30 mAh,No
A9 Pro Airpods,https://priceoye.pk/wireless-earbuds/assorted/a9-pro-air-pods,1649,No,Yes,Type-C,V5.0,Yes,30 mAh,500 mAh
Price List of Zero Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/zero,3799,No,No,No,No,No,No,No
Price List of Ronin Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/ronin,4899,No,No,No,No,No,No,No
Audio for Immersive Games,https://priceoye.pk/wireless-earbuds/assorted/i12-tws-touch-sensor-airpods,1049,No,Yes,Micro-USB,V5.1,Yes,No,No
Audionic Battlebuds Wireless Earbuds,https://priceoye.pk/wireless-earbuds/audionic/audionic-battlebuds-wireless-earbuds,4399,Yes,Yes,Type-C,V5.4,No,35mAh,400mAh
Nothing Buds Pro 2,https://priceoye.pk/wireless-earbuds/nothing/nothing-buds-2-pro,12999,Yes,Yes,Type-C,V5.3,No,60 mAh,460mAh
SEGO Touch LCD Display Earbuds,https://priceoye.pk/wireless-earbuds/sego/sego-touch-lcd-display-earbuds,3999,Yes,Yes,Type-C,V5.4,Yes,30mAh,380mAh
Anker Soundcore Space One Headphones,https://priceoye.pk/wireless-earbuds/anker/anker-soundcore-space-one-headphones,19799,Yes,Yes,Type-C,V5.3,Yes,No,No
Realme Buds T200 Lite,https://priceoye.pk/wireless-earbuds/realme/realme-buds-t200-lite,5699,Yes,Yes,Type-C,V5.3,Yes,No,No
Itel BudsNeo 3 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/itel/itel-budsneo-3-wireless-earbuds,3149,Yes,Yes,Type-C,V5.3,Yes,No,No
Apple AirPods 4 Active Noise Cancellation,https://priceoye.pk/wireless-earbuds/apple/airpods-4-active-noise-cancellation,48999,Yes,Yes,Type-C,V5.3,Yes,No,No
